date,RicePriceKg,PapaPriceKg
1996-01-01,601.524002075195,
1997-01-01,742.177749633789,
1998-01-01,888.309666951497,
1999-01-01,853.868586222331,
2000-01-01,845.82958984375,
2001-01-01,972.539993286133,
2002-01-01,980.183924357096,
2003-01-01,1114.51834106445,
2004-01-01,1139.63168334961,
2005-01-01,1109.60715738932,
2006-01-01,1212.90567016602,
2007-01-01,1322.0732421875,
2008-01-01,1896.13173421224,
2009-01-01,1795.2063293457,
2010-01-01,1731.69643147786,
2011-01-01,1964.36926269531,
2012-01-01,2229.43539428711,310.490502793296
2013-01-01,1939.20241292318,454.687150837989
2014-01-01,1885.9592590332,630.209593326382
2015-01-01,2617.27307128906,699.328934010152
2016-01-01,2527.22064208984,871.351983723296
2017-01-01,2013.24599202474,534.149805447471
2018-01-01,1900.26960449219,704.318818040435
