Name,Value,date
VarRice,-0.130182279382326,2013-01-01
VarPapa,0.464415647974552,2013-01-01
VarSMM,0.0402,2013-01-01
VarRice,-2.74562126857715e-02,2014-01-01
VarPapa,0.38602903593142,2014-01-01
VarSMM,0.045,2014-01-01
VarRice,0.387767555822364,2015-01-01
VarPapa,0.10967675106141,2015-01-01
VarSMM,0.046,2015-01-01
VarRice,-3.4406967384136e-02,2016-01-01
VarPapa,0.245983029368905,2016-01-01
VarSMM,0.07,2016-01-01
VarRice,-0.20337545582885,2017-01-01
VarPapa,-0.386987330693799,2017-01-01
VarSMM,0.07,2017-01-01
VarRice,-5.61165341841454e-02,2018-01-01
VarPapa,0.318579190439673,2018-01-01
VarSMM,0.059,2018-01-01
